Date,Symbol,Coin,Volume,Price,Market Cap
2018-07-19,zcn,0chain,64385.19104908145,0.4833249634172776,19332998.536691107
2013-04-28,btc,Bitcoin,0.0,135.3,1500517590.0
2013-04-29,btc,Bitcoin,0.0,141.96,1575032004.0
2013-04-30,btc,Bitcoin,0.0,135.3,1501657493.0
2013-05-01,btc,Bitcoin,0.0,117.0,1298951550.0
2013-05-02,btc,Bitcoin,0.0,103.43,1148667722.0
2013-05-03,btc,Bitcoin,0.0,91.01,1011066494.0
2013-05-04,btc,Bitcoin,0.0,111.25,1236351844.0
2013-05-05,btc,Bitcoin,0.0,116.79,1298377788.0
2013-05-06,btc,Bitcoin,0.0,118.33,1315992304.0
2013-05-07,btc,Bitcoin,0.0,106.4,1183766500.0
2013-05-08,btc,Bitcoin,0.0,112.64,1253655040.0
2013-05-09,btc,Bitcoin,0.0,113.0,1258130700.0
2013-05-10,btc,Bitcoin,0.0,118.78,1322989457.0
2013-05-11,btc,Bitcoin,0.0,113.01,1259239352.0
2013-05-12,btc,Bitcoin,0.0,114.713,1278708679.0
2013-05-13,btc,Bitcoin,0.0,117.18,1306721052.0
2013-05-14,btc,Bitcoin,0.0,114.5,1277278988.0
2013-05-15,btc,Bitcoin,0.0,114.156,1273849681.0
2013-05-16,btc,Bitcoin,0.0,115.5,1289277412.0
2013-05-17,btc,Bitcoin,0.0,123.1,1374605382.0
2013-05-18,btc,Bitcoin,0.0,123.88,1383755085.0
2013-05-19,btc,Bitcoin,0.0,120.501,1346499262.0
2013-05-20,btc,Bitcoin,0.0,122.58,1370131821.0
2013-05-21,btc,Bitcoin,0.0,122.9,1374154118.0
2013-05-22,btc,Bitcoin,0.0,123.0,1375791900.0
2013-05-23,btc,Bitcoin,0.0,125.74799999999999,1407041528.0
2013-05-24,btc,Bitcoin,0.0,131.7,1474180657.0
2013-05-25,btc,Bitcoin,0.0,130.77,1464316690.0
2013-05-26,btc,Bitcoin,0.0,134.6,1507769010.0
2013-05-27,btc,Bitcoin,0.0,128.985,1445444606.0
2013-05-28,btc,Bitcoin,0.0,129.179,1448115967.0
2013-05-29,btc,Bitcoin,0.0,132.13,1481781795.0
2013-05-30,btc,Bitcoin,0.0,127.40100000000001,1429308634.0
2013-05-31,btc,Bitcoin,0.0,127.98,1436386730.0
2013-06-01,btc,Bitcoin,0.0,129.09,1449499974.0
2013-06-02,btc,Bitcoin,0.0,121.3,1362684200.0
2013-06-03,btc,Bitcoin,0.0,121.16,1361765704.0
2013-06-05,btc,Bitcoin,0.0,121.309,1364113640.0
2013-06-06,btc,Bitcoin,0.0,121.714,1369233814.0
2013-06-07,btc,Bitcoin,0.0,119.0,1339234925.0
2013-06-08,btc,Bitcoin,0.0,110.09,1239395972.0
2013-06-09,btc,Bitcoin,0.0,108.40100000000001,1220874393.0
2013-06-10,btc,Bitcoin,0.0,99.7497,1123844958.0
2013-06-11,btc,Bitcoin,0.0,105.99,1194605341.0
2013-06-12,btc,Bitcoin,0.0,108.9,1227904672.0
2013-06-13,btc,Bitcoin,0.0,108.4,1222819750.0
2013-06-14,btc,Bitcoin,0.0,102.76899999999999,1159766150.0
2013-06-15,btc,Bitcoin,0.0,98.399,1110902570.0
2013-06-16,btc,Bitcoin,0.0,99.99,1129287060.0
2013-06-17,btc,Bitcoin,0.0,100.42,1134610433.0
2013-06-18,btc,Bitcoin,0.0,102.0,1152834600.0
2013-06-19,btc,Bitcoin,0.0,106.55,1204638318.0
2013-06-20,btc,Bitcoin,0.0,107.9,1220273470.0
2013-06-21,btc,Bitcoin,0.0,110.91,1254733148.0
2013-06-22,btc,Bitcoin,0.0,109.015,1233750009.0
2013-06-23,btc,Bitcoin,0.0,107.25,1214260369.0
2013-06-24,btc,Bitcoin,0.0,108.0,1223181000.0
2013-06-25,btc,Bitcoin,0.0,102.443,1160635652.0
2013-06-26,btc,Bitcoin,0.0,103.691,1175194910.0
2013-06-27,btc,Bitcoin,0.0,103.39,1172207388.0
2013-06-28,btc,Bitcoin,0.0,99.66,1130338737.0
2013-06-29,btc,Bitcoin,0.0,93.3311,1058953327.0
2013-06-30,btc,Bitcoin,0.0,95.3886,1082693996.0
2013-07-01,btc,Bitcoin,0.0,97.50399999999999,1107084792.0
2013-07-02,btc,Bitcoin,0.0,89.48899999999999,1016445146.0
2013-07-03,btc,Bitcoin,0.0,90.79700000000001,1031653673.0
2013-07-04,btc,Bitcoin,0.0,78.8,895707780.0
2013-07-05,btc,Bitcoin,0.0,78.48,892405890.0
2013-07-06,btc,Bitcoin,0.0,67.809,771368060.0
2013-07-07,btc,Bitcoin,0.0,68.0831,774804401.0
2013-07-08,btc,Bitcoin,0.0,77.502,882356395.0
2013-07-09,btc,Bitcoin,0.0,76.3915,870081997.0
2013-07-10,btc,Bitcoin,0.0,77.0,877378425.0
2013-07-11,btc,Bitcoin,0.0,85.75,977479256.0
2013-07-12,btc,Bitcoin,0.0,93.804,1069724400.0
2013-07-13,btc,Bitcoin,0.0,88.0622,1004551934.0
2013-07-14,btc,Bitcoin,0.0,95.58,1090715949.0
2013-07-15,btc,Bitcoin,0.0,94.0,1073073450.0
2013-07-16,btc,Bitcoin,0.0,97.301,1111179853.0
2013-07-17,btc,Bitcoin,0.0,98.9796,1130735527.0
2013-07-18,btc,Bitcoin,0.0,97.8,1117707300.0
2013-07-19,btc,Bitcoin,0.0,88.7869,1015062893.0
2013-07-20,btc,Bitcoin,0.0,91.572,1047311253.0
2013-07-21,btc,Bitcoin,0.0,89.28,1021492656.0
2013-07-22,btc,Bitcoin,0.0,90.3672,1034399451.0
2013-07-23,btc,Bitcoin,0.0,91.7024,1050054379.0
2013-07-24,btc,Bitcoin,0.0,94.5806,1083333286.0
2013-07-25,btc,Bitcoin,0.0,94.525,1083076902.0
2013-07-26,btc,Bitcoin,0.0,96.9499,1111232483.0
2013-07-27,btc,Bitcoin,0.0,94.13,1079278107.0
2013-07-28,btc,Bitcoin,0.0,94.005,1078286703.0
2013-07-29,btc,Bitcoin,0.0,98.5759,1131111629.0
2013-07-30,btc,Bitcoin,0.0,101.5,1165105812.0
2013-07-31,btc,Bitcoin,0.0,110.34,1267183179.0
2013-08-01,btc,Bitcoin,0.0,106.23,1220481782.0
2013-08-02,btc,Bitcoin,0.0,101.61,1167849454.0
2013-08-03,btc,Bitcoin,0.0,103.7,1192378895.0
2013-08-04,btc,Bitcoin,0.0,104.86,1206152150.0
2013-08-05,btc,Bitcoin,0.0,106.56,1226188584.0
2013-08-06,btc,Bitcoin,0.0,105.84100000000001,1218425716.0
2013-08-07,btc,Bitcoin,0.0,106.75,1229098150.0
2013-08-08,btc,Bitcoin,0.0,101.67200000000001,1171586790.0
2013-08-09,btc,Bitcoin,0.0,103.4,1192028805.0
2013-08-10,btc,Bitcoin,0.0,102.71,1184605785.0
2013-08-11,btc,Bitcoin,0.0,103.77,1197378682.0
2013-08-12,btc,Bitcoin,0.0,105.18,1214268916.0
2013-08-13,btc,Bitcoin,0.0,106.068,1225008501.0
2013-08-14,btc,Bitcoin,0.0,111.62100000000001,1289602061.0
2013-08-15,btc,Bitcoin,0.0,111.87,1292943118.0
2013-08-16,btc,Bitcoin,0.0,109.867,1270257534.0
2013-08-17,btc,Bitcoin,0.0,112.74,1304015666.0
2013-08-18,btc,Bitcoin,0.0,114.4,1323762440.0
2013-08-19,btc,Bitcoin,0.0,118.78200000000001,1375023402.0
2013-08-20,btc,Bitcoin,0.0,120.5,1395441212.0
2013-08-21,btc,Bitcoin,0.0,121.51,1407757143.0
2013-08-22,btc,Bitcoin,0.0,122.499,1419858347.0
2013-08-23,btc,Bitcoin,0.0,120.0,1391517000.0
2013-08-24,btc,Bitcoin,0.0,120.44,1397179275.0
2013-08-25,btc,Bitcoin,0.0,122.0,1415749000.0
2013-08-26,btc,Bitcoin,0.0,122.04,1416676932.0
2013-08-27,btc,Bitcoin,0.0,125.67,1459371151.0
2013-08-28,btc,Bitcoin,0.0,123.02,1429111038.0
2013-08-29,btc,Bitcoin,0.0,123.44,1434594992.0
2013-08-30,btc,Bitcoin,0.0,129.2,1502172870.0
2013-08-31,btc,Bitcoin,0.0,137.76,1602407100.0
2013-09-01,btc,Bitcoin,0.0,138.17,1607960283.0
2013-09-02,btc,Bitcoin,0.0,137.17,1597132036.0
2013-09-03,btc,Bitcoin,0.0,137.51,1601702729.0
2013-09-04,btc,Bitcoin,0.0,135.21,1575534525.0
2013-09-05,btc,Bitcoin,0.0,129.96,1514888487.0
2013-09-06,btc,Bitcoin,0.0,126.13,1470861842.0
2013-09-07,btc,Bitcoin,0.0,123.73,1443353756.0
2013-09-08,btc,Bitcoin,0.0,121.77,1420952396.0
2013-09-09,btc,Bitcoin,0.0,126.4,1475596760.0
2013-09-10,btc,Bitcoin,0.0,127.78,1492304286.0
2013-09-11,btc,Bitcoin,0.0,131.65,1538132775.0
2013-09-12,btc,Bitcoin,0.0,134.22,1568874092.0
2013-09-13,btc,Bitcoin,0.0,135.05,1579271324.0
2013-09-14,btc,Bitcoin,0.0,131.39,1537187451.0
2013-09-15,btc,Bitcoin,0.0,129.95,1520967287.0
2013-09-16,btc,Bitcoin,0.0,131.48,1539430293.0
2013-09-17,btc,Bitcoin,0.0,131.31,1538014334.0
2013-09-18,btc,Bitcoin,0.0,132.06,1547280990.0
2013-09-19,btc,Bitcoin,0.0,130.23,1526484433.0
2013-09-20,btc,Bitcoin,0.0,128.57,1507618248.0
2013-09-21,btc,Bitcoin,0.0,126.78,1487211807.0
2013-09-22,btc,Bitcoin,0.0,128.37,1506534274.0
2013-09-23,btc,Bitcoin,0.0,126.73,1487984454.0
2013-09-24,btc,Bitcoin,0.0,126.09,1481135098.0
2013-09-25,btc,Bitcoin,0.0,127.99,1504122481.0
2013-09-26,btc,Bitcoin,0.0,128.02,1505025524.0
2013-09-27,btc,Bitcoin,0.0,131.84,1550524096.0
2013-09-28,btc,Bitcoin,0.0,133.93,1575663012.0
2013-09-29,btc,Bitcoin,0.0,140.28,1650965841.0
2013-09-30,btc,Bitcoin,0.0,131.65,1549941780.0
2013-10-01,btc,Bitcoin,0.0,132.55,1561200410.0
2013-10-02,btc,Bitcoin,0.0,132.04,1555751397.0
2013-10-03,btc,Bitcoin,0.0,123.07,1450746083.0
2013-10-04,btc,Bitcoin,0.0,128.26,1512486811.0
2013-10-05,btc,Bitcoin,0.0,129.57,1528611793.0
2013-10-06,btc,Bitcoin,0.0,127.56,1505549223.0
2013-10-07,btc,Bitcoin,0.0,128.38,1515724889.0
2013-10-08,btc,Bitcoin,0.0,125.72,1484816060.0
2013-10-09,btc,Bitcoin,0.0,130.9,1546580228.0
2013-10-10,btc,Bitcoin,0.0,129.68,1532820842.0
2013-10-11,btc,Bitcoin,0.0,130.27,1540367845.0
2013-10-12,btc,Bitcoin,0.0,135.35,1601082220.0
2013-10-13,btc,Bitcoin,0.0,135.48,1603402413.0
2013-10-14,btc,Bitcoin,0.0,140.48,1663458800.0
2013-10-15,btc,Bitcoin,0.0,143.89,1704751164.0
2013-10-16,btc,Bitcoin,0.0,143.61,1702245233.0
2013-10-17,btc,Bitcoin,0.0,146.15,1732995548.0
2013-10-18,btc,Bitcoin,0.0,151.34,1795176162.0
2013-10-19,btc,Bitcoin,0.0,170.51,2023531688.0
2013-10-20,btc,Bitcoin,0.0,172.01,2042261829.0
2013-10-21,btc,Bitcoin,0.0,181.41,2154778910.0
2013-10-22,btc,Bitcoin,0.0,193.45,2298993654.0
2013-10-23,btc,Bitcoin,0.0,206.78,2458505640.0
2013-10-24,btc,Bitcoin,0.0,198.8,2364666360.0
2013-10-25,btc,Bitcoin,0.0,172.48,2052637048.0
2013-10-26,btc,Bitcoin,0.0,178.96,2130644072.0
2013-10-27,btc,Bitcoin,0.0,189.83,2260913266.0
2013-10-28,btc,Bitcoin,0.0,198.55,2365643830.0
2013-10-29,btc,Bitcoin,0.0,204.39,2436022215.0
2013-10-30,btc,Bitcoin,0.0,204.2,2434768490.0
2013-10-31,btc,Bitcoin,0.0,203.88,2432069229.0
2013-11-01,btc,Bitcoin,0.0,205.26,2449516394.0
2013-11-02,btc,Bitcoin,0.0,206.89,2470106260.0
2013-11-03,btc,Bitcoin,0.0,212.45,2537555912.0
2013-11-04,btc,Bitcoin,0.0,226.28,2703825377.0
2013-11-05,btc,Bitcoin,0.0,230.63,2756789579.0
2013-11-06,btc,Bitcoin,0.0,260.85,3119094311.0
2013-11-07,btc,Bitcoin,0.0,295.63,3536067384.0
2013-11-08,btc,Bitcoin,0.0,332.02,3972444990.0
2013-11-09,btc,Bitcoin,0.0,358.0,4284552950.0
2013-11-10,btc,Bitcoin,0.0,313.0,3747322075.0
2013-11-11,btc,Bitcoin,0.0,340.55,4078792891.0
2013-11-12,btc,Bitcoin,0.0,355.48,4259334699.0
2013-11-13,btc,Bitcoin,0.0,404.17,4844512975.0
2013-11-14,btc,Bitcoin,0.0,408.84,4902328893.0
2013-11-15,btc,Bitcoin,0.0,424.16,5087746180.0
2013-11-16,btc,Bitcoin,0.0,437.41,5248843453.0
2013-11-17,btc,Bitcoin,0.0,488.36,5862542038.0
2013-11-18,btc,Bitcoin,0.0,580.87,6975450004.0
2013-11-19,btc,Bitcoin,0.0,614.4,7380464640.0
2013-11-20,btc,Bitcoin,0.0,565.34,6793450510.0
2013-11-21,btc,Bitcoin,0.0,675.06,8114440594.0
2013-11-22,btc,Bitcoin,0.0,731.15,8790506777.0
2013-11-23,btc,Bitcoin,0.0,819.31,9853534129.0
2013-11-24,btc,Bitcoin,0.0,764.43,9196532447.0
2013-11-25,btc,Bitcoin,0.0,793.07,9544775891.0
2013-11-26,btc,Bitcoin,0.0,832.93,10028164851.0
2013-11-27,btc,Bitcoin,0.0,914.13,11009416068.0
2013-11-28,btc,Bitcoin,0.0,979.08,11795833455.0
2013-11-29,btc,Bitcoin,0.0,1101.83,13280659993.0
2013-11-30,btc,Bitcoin,0.0,1127.45,13593664650.0
2013-12-01,btc,Bitcoin,0.0,1033.39,12464724345.0
2013-12-02,btc,Bitcoin,0.0,974.03,11753157346.0
2013-12-03,btc,Bitcoin,0.0,1078.64,13020236474.0
2013-12-04,btc,Bitcoin,0.0,1121.48,13542487814.0
2013-12-05,btc,Bitcoin,0.0,989.04,11947405392.0
2013-12-06,btc,Bitcoin,0.0,1019.66,12322234219.0
2013-12-07,btc,Bitcoin,0.0,811.98,9816777302.0
2013-12-08,btc,Bitcoin,0.0,743.11,8987358118.0
2013-12-09,btc,Bitcoin,0.0,897.89,10863885372.0
2013-12-10,btc,Bitcoin,0.0,927.78,11230173843.0
2013-12-11,btc,Bitcoin,0.0,887.08,10741252534.0
2013-12-12,btc,Bitcoin,0.0,878.17,10636987805.0
2013-12-13,btc,Bitcoin,0.0,897.27,10872198158.0
2013-12-14,btc,Bitcoin,0.0,866.99,10509219285.0
2013-12-15,btc,Bitcoin,0.0,854.62,10363485334.0
2013-12-16,btc,Bitcoin,0.0,789.15,9573257565.0
2013-12-17,btc,Bitcoin,0.0,691.65,8393847109.0
2013-12-18,btc,Bitcoin,0.0,559.36,6791343584.0
2013-12-19,btc,Bitcoin,0.0,677.84,8233502182.0
2013-12-20,btc,Bitcoin,0.0,694.25,8436421862.0
2013-12-21,btc,Bitcoin,0.0,596.12,7246404914.0
2013-12-22,btc,Bitcoin,0.0,650.27,7907201916.0
2013-12-23,btc,Bitcoin,0.0,645.75,7854951431.0
2013-12-24,btc,Bitcoin,0.0,659.94,8030446893.0
2013-12-25,btc,Bitcoin,0.0,668.74,8140337961.0
2013-12-26,btc,Bitcoin,0.0,734.59,8944973877.0
2013-12-27,btc,Bitcoin,62881800.0,734.27,8944473292.0
2013-12-28,btc,Bitcoin,28121600.0,738.81,9002769255.0
2013-12-29,btc,Bitcoin,27018300.0,726.47,8855251580.0
2013-12-30,btc,Bitcoin,24717100.0,760.52,9270681761.0
2013-12-31,btc,Bitcoin,21903500.0,755.16,9205343763.0
2014-01-01,btc,Bitcoin,23448600.0,767.74,9358693020.0
2014-01-02,btc,Bitcoin,16837800.0,772.53,9417082760.0
2014-01-03,btc,Bitcoin,54171500.0,825.47,10062417390.0
2014-01-04,btc,Bitcoin,36344700.0,849.14,10350952914.0
2014-01-05,btc,Bitcoin,62414600.0,919.41,11207538944.0
2014-01-06,btc,Bitcoin,88584600.0,936.38,11414401972.0
2014-01-07,btc,Bitcoin,80268100.0,826.5,10107681750.0
2014-01-08,btc,Bitcoin,78060300.0,838.32,10256342208.0
2014-01-09,btc,Bitcoin,58813600.0,853.29,10443906952.0
2014-01-10,btc,Bitcoin,29763600.0,863.3,10570439442.0
2014-01-11,btc,Bitcoin,48299500.0,905.72,11094594497.0
2014-01-12,btc,Bitcoin,40171100.0,867.45,10630187711.0
2014-01-13,btc,Bitcoin,42950500.0,840.96,10309307616.0
2014-01-14,btc,Bitcoin,23469400.0,838.05,10276902394.0
2014-01-15,btc,Bitcoin,28600400.0,860.44,10555404678.0
2014-01-16,btc,Bitcoin,18719700.0,837.98,10283900055.0
2014-01-17,btc,Bitcoin,39266000.0,812.9,9979241690.0
2014-01-18,btc,Bitcoin,18052700.0,840.0,10315662000.0
2014-01-19,btc,Bitcoin,17574100.0,838.17,10293335273.0
2014-01-20,btc,Bitcoin,25421600.0,869.15,10677333920.0
2014-01-21,btc,Bitcoin,26779700.0,869.57,10686776168.0
2014-01-22,btc,Bitcoin,17879900.0,865.03,10635024832.0
2014-01-23,btc,Bitcoin,18412100.0,846.97,10417265166.0
2014-01-24,btc,Bitcoin,20176000.0,808.32,9945387408.0
2014-01-25,btc,Bitcoin,31742800.0,804.39,9900713656.0
2014-01-26,btc,Bitcoin,22676800.0,853.51,10508799200.0
2014-01-27,btc,Bitcoin,32539200.0,891.86,10984370725.0
2014-01-28,btc,Bitcoin,61878700.0,777.0,9573533550.0
2014-01-29,btc,Bitcoin,33409200.0,816.85,10067676250.0
2014-01-30,btc,Bitcoin,16261700.0,817.17,10074827642.0
2014-01-31,btc,Bitcoin,31107400.0,817.93,10087796517.0
2014-02-01,btc,Bitcoin,14722200.0,832.52,10271715012.0
2014-02-02,btc,Bitcoin,19347600.0,836.41,10323662258.0
2014-02-03,btc,Bitcoin,12759200.0,813.38,10043290888.0
2014-02-04,btc,Bitcoin,14823400.0,832.36,10281144248.0
2014-02-05,btc,Bitcoin,15706200.0,830.92,10267242207.0
2014-02-06,btc,Bitcoin,47441900.0,805.08,9951171213.0
2014-02-07,btc,Bitcoin,65733100.0,721.32,8918941470.0
2014-02-08,btc,Bitcoin,86940400.0,701.61,8678266711.0
2014-02-09,btc,Bitcoin,34864400.0,672.07,8315656524.0
2014-02-10,btc,Bitcoin,38527400.0,689.65,8535556672.0
2014-02-11,btc,Bitcoin,121884000.0,697.76,8638931672.0
2014-02-12,btc,Bitcoin,65970400.0,655.26,8115968452.0
2014-02-13,btc,Bitcoin,19109100.0,651.91,8077474557.0
2014-02-14,btc,Bitcoin,90917600.0,623.57,7729134561.0
2014-02-15,btc,Bitcoin,57350800.0,644.1,7986582360.0
2014-02-16,btc,Bitcoin,24104900.0,613.85,7614456286.0
2014-02-17,btc,Bitcoin,48516100.0,645.14,8005429360.0
2014-02-18,btc,Bitcoin,22066400.0,625.01,7758139753.0
2014-02-19,btc,Bitcoin,13276100.0,620.99,7711283048.0
2014-02-20,btc,Bitcoin,35743400.0,593.89,7377405511.0
2014-02-21,btc,Bitcoin,56059000.0,582.75,7241455462.0
2014-02-22,btc,Bitcoin,21675800.0,571.06,7098404288.0
2014-02-23,btc,Bitcoin,44590700.0,622.97,7746491782.0
2014-02-24,btc,Bitcoin,47229500.0,572.39,7120130927.0
2014-02-25,btc,Bitcoin,111102000.0,489.31,6088839080.0
2014-02-26,btc,Bitcoin,75039300.0,567.25,7061198906.0
2014-02-27,btc,Bitcoin,38219000.0,586.28,7300959497.0
2014-02-28,btc,Bitcoin,24649000.0,567.2,7065922360.0
2014-03-01,btc,Bitcoin,22903800.0,560.11,6979712746.0
2014-03-02,btc,Bitcoin,11143900.0,561.35,6997269851.0
2014-03-03,btc,Bitcoin,33049800.0,585.79,7304054418.0
2014-03-04,btc,Bitcoin,86124600.0,675.0,8418886875.0
2014-03-05,btc,Bitcoin,26946700.0,658.24,8212712376.0
2014-03-06,btc,Bitcoin,16659800.0,654.55,8169324004.0
2014-03-07,btc,Bitcoin,29823000.0,617.62,7711032022.0
2014-03-08,btc,Bitcoin,21353000.0,610.37,7623170337.0
2014-03-09,btc,Bitcoin,15489000.0,636.17,7947989895.0
2014-03-10,btc,Bitcoin,16425700.0,621.17,7763134192.0
2014-03-11,btc,Bitcoin,12542300.0,624.23,7803983008.0
2014-03-12,btc,Bitcoin,20806300.0,638.07,7979719372.0
2014-03-13,btc,Bitcoin,12866600.0,639.03,7994472985.0
2014-03-14,btc,Bitcoin,11939800.0,629.67,7879611671.0
2014-03-15,btc,Bitcoin,5963930.0,638.07,7987471922.0
2014-03-16,btc,Bitcoin,4834240.0,629.55,7883319532.0
2014-03-17,btc,Bitcoin,13371500.0,623.705,7812934238.0
2014-03-18,btc,Bitcoin,23217800.0,612.622,7676276184.0
